# Метеостанция Нижний Новгород / им. В. П. Чкалова (аэропорт), Россия, METAR=UWGG, выборка с 01.05.2020 по 01.06.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UWGG&lang=ru
#
"Местное время в Нижнем Новгороде / им. В. П. Чкалова (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"29.05.2020 20:00";"23.0";"755.2";"762.0";"53";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 19:30";"23.0";"755.2";"762.0";"53";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 19:00";"24.0";"755.2";"762.0";"50";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 18:30";"24.0";"755.2";"762.0";"47";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"29.05.2020 18:00";"25.0";"755.2";"762.0";"47";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 17:30";"25.0";"756.0";"762.8";"44";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"29.05.2020 17:00";"25.0";"756.0";"762.8";"44";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"29.05.2020 16:30";"25.0";"756.0";"762.8";"44";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"29.05.2020 16:00";"25.0";"756.0";"762.8";"44";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"29.05.2020 15:30";"25.0";"756.0";"762.8";"44";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"29.05.2020 15:00";"24.0";"756.7";"763.5";"47";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"29.05.2020 14:30";"24.0";"756.7";"763.5";"44";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"11.0";
"29.05.2020 14:00";"24.0";"756.7";"763.5";"47";"Ветер, дующий с юго-востока";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"29.05.2020 13:30";"24.0";"757.5";"764.3";"47";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"29.05.2020 13:00";"24.0";"757.5";"764.3";"47";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"29.05.2020 12:30";"23.0";"757.5";"764.3";"47";"Ветер, дующий с юга";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"29.05.2020 12:00";"23.0";"757.5";"764.3";"47";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"29.05.2020 11:30";"23.0";"758.1";"765.0";"44";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"29.05.2020 11:00";"21.0";"758.1";"765.0";"46";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"29.05.2020 10:30";"22.0";"758.1";"765.0";"47";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"29.05.2020 10:00";"21.0";"758.1";"765.0";"46";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"29.05.2020 09:30";"21.0";"758.9";"765.8";"46";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"29.05.2020 09:00";"20.0";"758.9";"765.8";"49";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"29.05.2020 08:30";"20.0";"758.9";"765.8";"49";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"29.05.2020 08:00";"19.0";"758.8";"765.8";"56";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"29.05.2020 07:30";"18.0";"759.6";"766.6";"60";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"29.05.2020 07:00";"18.0";"759.6";"766.6";"56";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"29.05.2020 06:30";"17.0";"759.6";"766.6";"64";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"29.05.2020 06:00";"15.0";"759.5";"766.6";"77";"Ветер, дующий с юго-юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"29.05.2020 05:30";"14.0";"759.5";"766.6";"77";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"10.0";
"29.05.2020 05:00";"13.0";"759.5";"766.6";"82";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"10.0";
"29.05.2020 04:30";"11.0";"759.4";"766.6";"94";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"10.0";
"29.05.2020 04:00";"11.0";"759.4";"766.6";"88";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"9.0";
"29.05.2020 03:30";"11.0";"760.1";"767.3";"88";"Ветер, дующий с юга";"1";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"9.0";
"29.05.2020 03:00";"10.0";"760.1";"767.3";"88";"Переменное направление";"1";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"8.0";
"29.05.2020 02:30";"11.0";"759.4";"766.6";"88";"Ветер, дующий с юга";"1";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"9.0";
"29.05.2020 02:00";"11.0";"760.1";"767.3";"88";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"9.0";
"29.05.2020 01:30";"11.0";"760.1";"767.3";"88";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"29.05.2020 01:00";"12.0";"759.5";"766.6";"88";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"29.05.2020 00:30";"13.0";"760.2";"767.3";"88";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"29.05.2020 00:00";"13.0";"760.2";"767.3";"88";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"28.05.2020 23:30";"13.0";"759.5";"766.6";"82";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"28.05.2020 23:00";"13.0";"759.5";"766.6";"77";"Ветер, дующий с юго-юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"28.05.2020 22:30";"13.0";"760.2";"767.3";"77";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"28.05.2020 22:00";"13.0";"759.5";"766.6";"77";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"28.05.2020 21:30";"15.0";"759.5";"766.6";"72";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"28.05.2020 21:00";"15.0";"759.5";"766.6";"72";"Ветер, дующий с юго-юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"28.05.2020 20:30";"16.0";"759.6";"766.6";"63";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"28.05.2020 20:00";"17.0";"759.6";"766.6";"59";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"28.05.2020 19:30";"18.0";"759.6";"766.6";"52";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"28.05.2020 19:00";"20.0";"759.7";"766.6";"43";"Ветер, дующий с западо-юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"28.05.2020 18:30";"21.0";"759.7";"766.6";"40";"Ветер, дующий с юга";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"7.0";
"28.05.2020 18:00";"21.0";"759.7";"766.6";"40";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"7.0";
"28.05.2020 17:30";"21.0";"759.7";"766.6";"40";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"7.0";
"28.05.2020 17:00";"21.0";"759.7";"766.6";"35";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"5.0";
"28.05.2020 16:30";"21.0";"759.7";"766.6";"40";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"28.05.2020 16:00";"21.0";"759.7";"766.6";"40";"Ветер, дующий с юга";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"28.05.2020 15:30";"21.0";"760.4";"767.3";"40";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"28.05.2020 15:00";"21.0";"760.4";"767.3";"38";"Ветер, дующий с юго-запада";"3";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"6.0";
"28.05.2020 14:30";"21.0";"760.4";"767.3";"40";"Ветер, дующий с юга";"4";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"7.0";
"28.05.2020 14:00";"21.0";"760.4";"767.3";"40";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"7.0";
"28.05.2020 13:30";"20.0";"760.4";"767.3";"43";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"7.0";
"28.05.2020 13:00";"20.0";"760.4";"767.3";"40";"Ветер, дующий с юга";"2";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"6.0";
"28.05.2020 12:30";"20.0";"760.4";"767.3";"40";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"6.0";
"28.05.2020 12:00";"20.0";"760.4";"767.3";"43";"Переменное направление";"2";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"7.0";
"28.05.2020 11:30";"19.0";"761.1";"768.1";"43";"Ветер, дующий с юга";"3";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"6.0";
"28.05.2020 11:00";"19.0";"761.1";"768.1";"49";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"8.0";
"28.05.2020 10:30";"19.0";"761.1";"768.1";"46";"Переменное направление";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"28.05.2020 10:00";"19.0";"761.1";"768.1";"46";"Ветер, дующий с юго-запада";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"28.05.2020 09:30";"18.0";"761.1";"768.1";"56";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"9.0";
"28.05.2020 09:00";"17.0";"761.1";"768.1";"59";"Ветер, дующий с запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"9.0";
"28.05.2020 08:30";"17.0";"761.1";"768.1";"59";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"9.0";
"28.05.2020 08:00";"16.0";"761.1";"768.1";"63";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"28.05.2020 07:30";"15.0";"761.0";"768.1";"68";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"28.05.2020 07:00";"13.0";"761.0";"768.1";"77";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
